contigName	contigLen	totalAvgDepth	mapped_sorted_combined.bam	mapped_sorted_combined.bam-var
contig_10203	30499	1.84036	1.84036	3.51943
contig_10204	27481	1.6077	1.6077	1.93171
contig_10205	7816	0.541743	0.541743	0.489618
contig_10206	17965	0.5405	0.5405	1.5162
contig_10207	8924	0.609642	0.609642	0.441545
contig_10208	24373	2.46724	2.46724	3.31026
contig_10209	38791	2.35548	2.35548	3.2455
contig_1021	17896	1.36234	1.36234	1.26934
contig_10211	14567	0.938614	0.938614	1.25337
contig_10212	9346	3.19258	3.19258	2.24516
contig_10214	18885	1.60705	1.60705	1.14953
contig_10215	73749	3.83951	3.83951	7.89956
contig_10218	187624	3.91248	3.91248	7.12534
contig_10219	33127	2.35491	2.35491	2.53029
contig_10221	13641	1.7442	1.7442	1.30595
contig_10222	17185	1.13378	1.13378	1.62891
contig_10224	9483	1.31962	1.31962	1.80766
contig_10225	16466	2.13563	2.13563	1.00833
contig_10226	7135	0.240802	0.240802	0.195439
contig_10227	7965	1.5753	1.5753	2.2161
contig_10228	5666	0.532814	0.532814	0.305551
contig_10229	12954	0.729147	0.729147	0.584778
contig_1023	8343	0.636763	0.636763	0.732949
contig_10230	9978	2.35206	2.35206	0.892499
contig_10231	9010	1.47404	1.47404	0.785773
contig_10232	10098	0.59238	0.59238	0.342837
contig_10233	32613	1.192	1.192	2.55719
contig_10234	14803	1.05842	1.05842	1.0507
contig_10235	14667	0.429083	0.429083	0.497826
contig_10236	52991	1.71908	1.71908	1.99302
contig_10237	8157	1.44661	1.44661	1.69563
contig_10238	5717	2.69678	2.69678	2.02152
contig_10239	13880	1.26205	1.26205	1.20494
contig_1024	13122	1.19843	1.19843	0.96918
contig_10240	16697	0.714208	0.714208	0.448301
contig_10244	6335	1.11576	1.11576	0.822594
contig_10245	13312	0.97584	0.97584	0.623637
contig_10246	6661	0.672401	0.672401	0.22031
contig_10247	13139	0.701671	0.701671	0.763803
contig_10248	7898	1.52969	1.52969	1.12097
contig_10249	6716	1.83064	1.83064	0.680823
contig_1025	15499	0.715226	0.715226	1.47765
contig_10252	14855	1.92547	1.92547	4.51551
contig_10253	14491	0.613695	0.613695	0.612439
contig_10255	9154	0.663927	0.663927	0.460233
contig_10257	12007	3.28802	3.28802	7.48129
contig_10258	10252	1.00693	1.00693	1.83516
contig_10259	24546	1.10813	1.10813	1.92802
contig_1026	14416	0.674611	0.674611	0.846786
contig_10260	62993	2.29007	2.29007	3.0285
contig_10261	58975	2.94181	2.94181	9.02829
contig_10263	52742	1.79428	1.79428	3.85884
contig_10264	16577	0.797955	0.797955	5.76897
contig_10265	7913	2.42046	2.42046	2.17387
contig_10266	14468	0.833566	0.833566	0.782373
contig_10267	16514	1.76406	1.76406	1.14594
contig_10268	10042	1.76405	1.76405	4.47889
contig_10269	6359	3.49541	3.49541	9.4368
contig_1027	12758	2.60192	2.60192	2.35062
contig_10270	11823	2.24313	2.24313	6.25743
contig_10272	41349	4.2844	4.2844	13.7212
contig_10273	53631	1.62936	1.62936	1.85141
contig_10274	8785	1.63254	1.63254	2.11023
contig_10275	16033	1.0566	1.0566	1.06966
contig_10276	23216	0.976806	0.976806	0.656313
contig_10277	5521	1.61162	1.61162	0.789563
contig_10279	24164	0.601233	0.601233	0.583407
contig_1028	19029	0.502675	0.502675	0.368408
contig_10280	9898	0.10197	0.10197	0.0915741
contig_10281	6949	1.219	1.219	0.566461
contig_10283	48544	461.676	461.676	1.86824e+07
contig_10285	69294	1.5874	1.5874	2.34523
contig_10286	6845	1.33592	1.33592	1.51476
contig_10287	5467	0.959376	0.959376	0.647731
contig_10288	462697	5.55392	5.55392	8.94775
contig_10289	8390	0.577427	0.577427	0.548952
contig_10292	5825	0.877885	0.877885	0.476263
contig_10293	83776	0.546062	0.546062	1.01727
contig_10294	6302	1.40231	1.40231	2.83731
contig_10295	14093	1.2483	1.2483	1.15689
contig_10296	12387	2.08605	2.08605	5.46086
contig_10298	25031	0.428037	0.428037	0.691763
contig_10299	17752	2.12697	2.12697	0.956454
contig_103	15847	1.21514	1.21514	1.31288
contig_1030	31809	3.47544	3.47544	3.2073
contig_10300	57436	1.44259	1.44259	2.58971
contig_10301	36353	1.80979	1.80979	4.26158
contig_10302	129153	6.747	6.747	14.0883
contig_10303	16685	2.69628	2.69628	3.07449
contig_10304	6836	2.36838	2.36838	0.61417
contig_10305	5014	0.995477	0.995477	0.535843
contig_10306	19825	1.99873	1.99873	0.788793
contig_10307	15009	1.54499	1.54499	2.6446
contig_10309	15858	0.880379	0.880379	0.817998
contig_10310	10763	1.43456	1.43456	1.79175
contig_10311	6006	0.328552	0.328552	0.220641
contig_10312	5709	1.29106	1.29106	0.917424
contig_10313	9218	0.225298	0.225298	0.184497
contig_10314	13410	2.80475	2.80475	2.21297
contig_10315	35585	1.24778	1.24778	2.6319
contig_10316	14850	1.35952	1.35952	1.02355
contig_10319	5414	0.928191	0.928191	0.592204
contig_1032	16587	2.18185	2.18185	1.65773
contig_10320	23219	1.46751	1.46751	0.871543
contig_10321	19688	0.643515	0.643515	0.715912
contig_10322	8268	1.43594	1.43594	2.03417
contig_10323	7458	2.28996	2.28996	2.6411
contig_10325	16831	2.18302	2.18302	1.31073
contig_10326	145639	2.34214	2.34214	2.09212
contig_10328	18237	0.783104	0.783104	1.51599
contig_10329	9708	0.349236	0.349236	0.513244
contig_1033	10906	8.35989	8.35989	18.8229
contig_10330	183796	3.61893	3.61893	4.59211
contig_10331	38700	1.48926	1.48926	3.95787
contig_10332	23978	0.303928	0.303928	0.419976
contig_10333	61916	1.91565	1.91565	1.66822
contig_10334	5592	2.07736	2.07736	0.629437
contig_10335	6334	1.61012	1.61012	0.61834
contig_10336	64047	1.44285	1.44285	2.15565
contig_10337	9126	1.82498	1.82498	1.33774
contig_10338	21036	3.64991	3.64991	18.9585
contig_10339	100300	2.12246	2.12246	2.40731
contig_10340	50702	1.96366	1.96366	2.58215
contig_10341	7467	1.47492	1.47492	0.925159
contig_10343	34373	0.406423	0.406423	0.383598
contig_10344	6690	1.56942	1.56942	2.81265
contig_10345	14997	1.39126	1.39126	1.82747
contig_10346	7601	0.679775	0.679775	0.917211
contig_10347	15953	1.20863	1.20863	1.16849
contig_10348	7913	1.09726	1.09726	0.762643
contig_10349	20491	0.51261	0.51261	0.961826
contig_10350	9221	0.979826	0.979826	0.682152
contig_10351	6302	1.64239	1.64239	0.671969
contig_10352	9569	2.84903	2.84903	2.59888
contig_10353	239299	5.36355	5.36355	11.412
contig_10354	15488	1.49413	1.49413	1.5965
contig_10355	15185	2.75165	2.75165	2.03375
contig_10356	15915	0.78281	0.78281	0.44334
contig_10357	19677	1.16639	1.16639	1.33456
contig_10358	12017	7.04517	7.04517	17.6142
contig_1036	12270	4.87137	4.87137	10.613
contig_10360	26544	2.0338	2.0338	1.9168
contig_10363	84254	2.68773	2.68773	3.81153
contig_10364	19218	0.36202	0.36202	0.40029
contig_10365	91417	3.5232	3.5232	7.8003
contig_10366	11448	0.214463	0.214463	0.168503
contig_10367	12465	5.25952	5.25952	10.6848
contig_10368	8250	2.86222	2.86222	1.39301
contig_10369	8575	1.14303	1.14303	0.537823
contig_1037	9765	1.31232	1.31232	0.861937
contig_10371	11739	1.63612	1.63612	2.61449
contig_10372	10064	0.668449	0.668449	0.670312
contig_10373	41238	2.5404	2.5404	1.9693
contig_10374	13638	1.7864	1.7864	1.04288
contig_10375	8279	1.99803	1.99803	0.868102
contig_10376	34765	2.89713	2.89713	5.25906
contig_10379	54484	2.12217	2.12217	2.40972
contig_1038	12430	2.0377	2.0377	1.61568
contig_10380	36255	1.57308	1.57308	1.75752
contig_10382	6549	2.13236	2.13236	1.42094
contig_10383	9096	1.10049	1.10049	1.08689
contig_10384	31214	6.73403	6.73403	9.06981
contig_10385	6112	1.51493	1.51493	1.47211
contig_10386	127243	1.94366	1.94366	3.05716
contig_10387	21156	1.53975	1.53975	1.63927
contig_10388	6828	0.50015	0.50015	0.547214
contig_10389	6349	2.0171	2.0171	0.695088
contig_1039	9364	2.65769	2.65769	3.28001
contig_10391	7887	0.292749	0.292749	0.362192
contig_10392	6535	0	0	0
contig_10393	16692	1.66401	1.66401	3.93512
contig_10394	8705	1.10181	1.10181	0.768246
contig_10395	5375	0.978565	0.978565	1.05426
contig_10396	6966	1.35197	1.35197	1.24847
contig_10397	6041	0.168902	0.168902	0.292209
contig_10398	10398	3.52654	3.52654	4.12812
contig_10399	31750	2.73487	2.73487	4.41714
contig_104	117248	1.62306	1.62306	3.01009
contig_1040	10535	1.8311	1.8311	1.02226
contig_10400	10631	2.03893	2.03893	1.57412
contig_10401	8383	0.586906	0.586906	0.371981
contig_10402	19125	0.276785	0.276785	0.201792
contig_10403	10899	1.10773	1.10773	0.669452
contig_10404	14221	1.48582	1.48582	0.622919
contig_10405	25145	1.22977	1.22977	0.525947
contig_10406	6299	1.67312	1.67312	4.89183
contig_10407	5254	0.68848	0.68848	0.475936
contig_10408	7831	1.26442	1.26442	1.78232
contig_10410	25293	1.59118	1.59118	1.48627
contig_10411	11043	1.84274	1.84274	0.517847
contig_10412	71912	2.33031	2.33031	4.02665
contig_10413	7166	0.710376	0.710376	0.831195
contig_10414	12203	1.35427	1.35427	0.83339
contig_10415	39636	1.71856	1.71856	3.15109
contig_10416	72316	3.29856	3.29856	5.44636
contig_10417	12851	4.4243	4.4243	7.39524
contig_10418	84345	2.06089	2.06089	3.91025
contig_10419	29289	2.76705	2.76705	5.05998
contig_1042	7899	5.00077	5.00077	24.0405
contig_10420	5760	2.59269	2.59269	3.95617
contig_10421	5151	0.845631	0.845631	0.32696
contig_10425	10810	0.842308	0.842308	0.79824
contig_10426	6461	1.41879	1.41879	0.619999
contig_10428	12684	2.73113	2.73113	4.45564
contig_10429	6936	1.3634	1.3634	1.35
contig_10430	7301	0.980422	0.980422	0.873521
contig_10431	6366	1.6036	1.6036	1.14135
contig_10432	7425	2.83711	2.83711	8.88801
contig_10433	8013	1.13265	1.13265	0.632477
contig_10434	25231	1.49296	1.49296	0.983014
contig_10435	6091	2.91634	2.91634	3.08438
contig_10436	6991	3.81742	3.81742	2.70295
contig_10437	107562	5.46334	5.46334	10.2211
contig_10438	13635	2.95254	2.95254	1.92615
contig_10439	44133	3.64077	3.64077	5.41642
contig_1044	162188	3.44883	3.44883	7.73402
contig_10440	18373	0.468309	0.468309	0.401104
contig_10441	7741	0.566724	0.566724	0.577642
contig_10442	15761	0.826917	0.826917	0.582891
contig_10444	13104	1.175	1.175	2.50833
contig_10445	46230	1.34599	1.34599	1.69646
contig_10446	14915	2.13207	2.13207	4.50434
contig_10447	24437	3.62548	3.62548	14.3923
contig_10448	8957	0.482684	0.482684	0.524731
contig_10449	97038	1.36303	1.36303	3.19411
contig_10450	8021	0.317368	0.317368	0.335383
contig_10451	10978	2.14315	2.14315	3.16355
contig_10454	116985	2.6202	2.6202	3.45249
contig_10457	9086	0.602954	0.602954	1.24266
contig_1046	26961	6.333	6.333	48.4086
contig_10460	11633	1.98868	1.98868	1.49733
contig_10462	8148	1.27982	1.27982	1.08176
contig_10463	9256	0.101362	0.101362	0.0910814
contig_10464	16329	0.994005	0.994005	0.536453
contig_10465	18922	1.26023	1.26023	0.731408
contig_10466	27626	1.52686	1.52686	1.63876
contig_10467	11922	0.716616	0.716616	0.677289
contig_10468	12387	0.977527	0.977527	0.250303
contig_10469	8976	0.570927	0.570927	0.476589
contig_1047	8322	3.44322	3.44322	17.9546
contig_10471	8385	1.21044	1.21044	2.06758
contig_10472	7443	0.683806	0.683806	1.89927
contig_10473	7494	2.86438	2.86438	1.92808
contig_10474	11264	1.79908	1.79908	1.37659
contig_10475	301021	4.61918	4.61918	5.92091
contig_10476	13140	1.67606	1.67606	2.82574
contig_10477	14966	1.13998	1.13998	0.940759
contig_10478	10546	0.970758	0.970758	1.02063
contig_10479	32107	1.84658	1.84658	0.987929
contig_1048	6209	1.91533	1.91533	3.00789
contig_10481	64707	0.940796	0.940796	1.8495
contig_10482	6720	2.27047	2.27047	1.65667
contig_10483	7469	0.0677688	0.0677688	0.0631717
contig_10484	8482	0.807489	0.807489	0.536723
contig_10485	5704	0	0	0
contig_10487	9448	0.775005	0.775005	0.687221
contig_10488	7335	0.217676	0.217676	0.429489
contig_10489	19076	0.306351	0.306351	0.342744
contig_1049	221130	2.78831	2.78831	6.75381
contig_10490	20421	0.475852	0.475852	0.77566
contig_10491	63611	2.35168	2.35168	4.54642
contig_10492	7514	1.54685	1.54685	1.72625
contig_10493	30300	2.76219	2.76219	3.10456
contig_10494	5846	0.850597	0.850597	0.645097
contig_10495	6659	1.86695	1.86695	0.529071
contig_10496	5334	2.58719	2.58719	0.920816
contig_10498	35072	0.569211	0.569211	0.911335
contig_10499	8547	1.86698	1.86698	4.14671
contig_105	16743	0.108299	0.108299	0.107537
contig_1050	21441	4.15274	4.15274	17.9575
contig_10500	13737	0.826084	0.826084	0.469462
contig_10501	7983	0.564279	0.564279	0.561517
contig_10502	8012	1.07937	1.07937	1.66549
contig_10504	5052	4.39351	4.39351	1.56006
contig_10505	7079	1.62578	1.62578	1.09103
contig_10506	9375	0.610298	0.610298	0.575432
contig_10508	216172	2.40993	2.40993	3.75085
contig_1051	10706	4.36718	4.36718	9.21152
contig_10510	8549	3.0681	3.0681	2.48761
contig_10511	47290	1.53543	1.53543	5.55203
contig_10512	77049	6.31656	6.31656	16.7403
contig_10513	126384	3.91585	3.91585	4.88294
contig_10514	5468	1.20948	1.20948	0.837458
contig_10515	5215	0.638302	0.638302	0.741601
contig_10516	16475	0.793262	0.793262	0.51165
contig_10517	66394	2.06192	2.06192	2.17468
contig_10518	8002	1.82106	1.82106	26.1962
contig_10519	24611	1.68284	1.68284	1.09018
contig_1052	22550	1.54125	1.54125	1.86448
contig_10521	19725	1.16307	1.16307	1.6318
contig_10522	15885	2.85726	2.85726	4.36158
contig_10524	15604	1.01327	1.01327	1.75962
contig_10526	37397	3.01807	3.01807	7.89456
contig_10527	114601	1.80837	1.80837	2.63335
contig_10529	6556	0	0	0
contig_1053	33032	13.5979	13.5979	46.6591
contig_10530	44940	3.06227	3.06227	5.114
contig_10531	11395	2.68333	2.68333	4.60251
contig_10532	14744	1.54762	1.54762	0.996804
contig_10534	10293	1.2938	1.2938	1.73378
contig_10535	6436	1.41664	1.41664	1.59806
contig_10536	15180	1.3666	1.3666	1.18881
contig_10537	8743	1.95112	1.95112	0.802303
contig_10538	15367	0.452586	0.452586	0.681361
contig_10539	9234	2.00473	2.00473	1.58473
contig_1054	10285	1.3853	1.3853	0.62505
contig_10540	9468	2.06192	2.06192	7.39058
contig_10542	5602	1.04677	1.04677	2.13655
contig_10543	14982	1.50445	1.50445	0.870042
contig_10544	9608	0.669698	0.669698	0.738498
contig_10545	28393	0.653188	0.653188	1.23719
contig_10546	8737	0.330732	0.330732	0.282626
contig_10547	9446	0.746235	0.746235	0.842963
contig_10548	6161	1.56147	1.56147	1.42593
contig_10549	10014	5.16058	5.16058	6.62829
contig_1055	17836	1.89562	1.89562	1.92811
contig_10550	78408	8.78727	8.78727	17.6119
contig_10551	16064	1.90757	1.90757	2.12939
contig_10552	66177	5.71086	5.71086	8.89896
contig_10553	17992	2.68445	2.68445	4.05048
contig_10554	10794	1.38238	1.38238	1.19949
contig_10555	30494	2.0669	2.0669	3.68147
contig_10556	6866	0.667064	0.667064	0.517567
contig_10557	22965	0.849222	0.849222	0.777827
contig_10559	16409	2.1847	2.1847	1.90974
contig_1056	17380	1.53105	1.53105	2.01133
contig_10560	5597	0.946393	0.946393	0.863435
contig_10561	7374	0.552049	0.552049	0.520583
contig_10562	9950	0.30398	0.30398	0.211605
contig_10564	19971	0.550981	0.550981	0.396182
contig_10565	112994	2.86242	2.86242	3.60368
contig_10567	8754	1.21571	1.21571	0.831061
contig_10568	11997	2.25441	2.25441	0.882295
contig_10569	92230	3.05153	3.05153	5.05821
contig_10570	16410	1.42804	1.42804	0.970263
contig_10571	22913	1.94491	1.94491	2.51829
contig_10572	20766	1.2014	1.2014	1.38757
contig_10573	12231	2.01109	2.01109	1.15994
contig_10574	91285	2.41855	2.41855	3.34892
contig_10575	10566	0.75	0.75	0.499568
contig_10576	5708	0.27258	0.27258	0.198318
contig_10578	23712	11.864	11.864	25.4553
contig_10579	7477	0.271871	0.271871	0.332606
contig_10580	9282	1.42871	1.42871	3.88324
contig_10581	5328	1.50039	1.50039	0.394146
contig_10582	5506	0.26531	0.26531	0.222599
contig_10583	6151	0.890018	0.890018	1.41859
contig_10584	11821	2.46063	2.46063	2.42816
contig_10585	11102	1.97507	1.97507	2.74208
contig_10586	23976	2.37904	2.37904	1.79663
contig_10587	22508	1.95093	1.95093	1.10763
contig_10588	11757	1.89506	1.89506	1.85226
contig_10589	12847	1.76128	1.76128	0.941283
contig_10590	11368	0.382956	0.382956	0.69412
contig_10593	9253	5.48731	5.48731	83.1844
contig_10594	7475	1.43945	1.43945	1.08071
contig_10595	13512	0.455546	0.455546	0.33545
contig_10596	8652	0.6522	0.6522	0.791227
contig_10597	17992	1.29038	1.29038	0.766808
contig_10599	221538	3.12083	3.12083	5.06377
contig_106	24663	2.50304	2.50304	2.28188
contig_10600	8364	0.182006	0.182006	0.257007
contig_10601	53563	1.78131	1.78131	2.26493
contig_10602	47670	3.77721	3.77721	20.8006
contig_10603	6286	0.297425	0.297425	0.353126
contig_10604	29032	0.510837	0.510837	0.742477
contig_10605	18557	1.06644	1.06644	2.34382
contig_10606	16336	0.667305	0.667305	1.05567
contig_10607	10325	1.33995	1.33995	1.40898
contig_10609	41702	3.15142	3.15142	3.89985
contig_1061	7361	0.0459021	0.0459021	0.0438001
contig_10612	7126	2.50301	2.50301	4.64188
contig_10613	6640	1.88367	1.88367	0.752486
contig_10614	15445	1.73207	1.73207	1.22763
contig_10615	33841	36.7054	36.7054	660270
contig_10616	5453	2.77296	2.77296	4.88253
contig_10617	9620	0.187012	0.187012	0.248819
contig_10618	7874	0.787157	0.787157	0.598747
contig_10619	15146	1.89144	1.89144	0.668929
contig_1062	6856	1.81062	1.81062	1.29746
contig_10620	6343	1.58179	1.58179	0.896699
contig_10623	18076	0.751869	0.751869	1.98255
contig_10624	48156	2.53685	2.53685	5.73578
contig_10625	5825	2.01885	2.01885	1.21767
contig_10626	8942	2.13649	2.13649	1.69701
contig_10627	16593	1.21839	1.21839	1.28712
contig_10628	13872	1.31533	1.31533	0.859514
contig_10629	5434	1.18073	1.18073	0.43732
contig_10630	12168	1.18331	1.18331	1.06504
contig_10633	50808	1.76328	1.76328	1.62778
contig_10634	7269	2.08189	2.08189	0.951868
contig_10635	9650	1.40168	1.40168	1.05979
contig_10636	10609	0.953437	0.953437	0.953575
contig_10637	9046	2.16906	2.16906	2.12134
contig_10638	14079	0.610956	0.610956	1.18942
contig_10639	116777	2.54264	2.54264	6.75944
contig_1064	49011	3.49704	3.49704	17.9036
