contigName	contigLen	totalAvgDepth	mapped_sorted_secondRun.bam	mapped_sorted_secondRun.bam-var
contig_10074	7446	0.613761	0.613761	0.45669
contig_10075	8770	1.60766	1.60766	1.99928
contig_10077	9255	0.982757	0.982757	0.997823
contig_10078	24493	1.60136	1.60136	1.18025
contig_10079	15265	2.47555	2.47555	3.47259
contig_1008	16273	6.86039	6.86039	8.27126
contig_10080	8426	1.13171	1.13171	1.20025
contig_10081	15790	1.70754	1.70754	0.872324
contig_10082	17527	1.79991	1.79991	3.19985
contig_10083	6303	1.91061	1.91061	1.19712
contig_10084	9261	2.16804	2.16804	1.33108
contig_10085	9438	1.14083	1.14083	1.72298
contig_10086	54686	1.57379	1.57379	2.73061
contig_10087	9420	1.43743	1.43743	1.04902
contig_10088	6772	0.214437	0.214437	0.168479
contig_10089	7757	1.30222	1.30222	0.988709
contig_1009	5888	0.620425	0.620425	0.441215
contig_10090	31266	3.34063	3.34063	5.14713
contig_10091	7347	0	0	0
contig_10093	8865	1.32668	1.32668	1.13565
contig_10094	6917	0.254027	0.254027	0.189532
contig_10095	18451	0.408885	0.408885	0.497173
contig_10096	9447	2.68893	2.68893	1.66611
contig_10097	31764	1.88698	1.88698	2.65511
contig_10098	14848	1.9702	1.9702	1.45505
contig_10099	18316	0.73577	0.73577	0.85985
contig_101	83902	7.06463	7.06463	18.8146
contig_1010	36110	0.788376	0.788376	1.02415
contig_10100	14439	0.873399	0.873399	0.813299
contig_10101	5535	1.63157	1.63157	0.78104
contig_10102	13200	2.18789	2.18789	1.67915
contig_10103	14180	0.615823	0.615823	0.521172
contig_10104	6458	0.676284	0.676284	0.693655
contig_10105	68623	1.41984	1.41984	1.47907
contig_10106	7740	0.906719	0.906719	0.767993
contig_10107	8238	0.991592	0.991592	1.01147
contig_10108	79827	2.67171	2.67171	2.48023
contig_10109	5253	1.47658	1.47658	2.81638
contig_1011	27948	1.74581	1.74581	2.78654
contig_10110	36523	1.43191	1.43191	2.3449
contig_10111	15709	1.78797	1.78797	1.32876
contig_10112	9119	3.41621	3.41621	27.1189
contig_10113	7033	1.70681	1.70681	1.46416
contig_10114	14193	1.29645	1.29645	1.98573
contig_10115	7749	0.751809	0.751809	0.484027
contig_10116	17275	0.593051	0.593051	0.684494
contig_10117	5891	1.52151	1.52151	1.94983
contig_10118	10037	1.27147	1.27147	0.931098
contig_10119	6935	1.79823	1.79823	0.627214
contig_1012	22352	4.26344	4.26344	89.6473
contig_10120	6883	1.23882	1.23882	0.692512
contig_10122	52712	1.54311	1.54311	2.94774
contig_10123	25228	2.8594	2.8594	2.6513
contig_10124	8876	2.15104	2.15104	1.77701
contig_10126	10261	0.977648	0.977648	1.47681
contig_10127	17636	2.11804	2.11804	1.52294
contig_10128	10084	1.57268	1.57268	0.958319
contig_10129	10952	0.708017	0.708017	0.269329
contig_1013	15551	7.71716	7.71716	39.3171
contig_10130	8452	1.38027	1.38027	0.84283
contig_10132	12071	0.794313	0.794313	0.520797
contig_10133	9777	3.72141	3.72141	18.5468
contig_10134	17452	0.950237	0.950237	0.547294
contig_10135	9739	1.22422	1.22422	0.622257
contig_10136	9816	1.34461	1.34461	0.677398
contig_10137	9939	0.911227	0.911227	0.769737
contig_10138	22501	0.860409	0.860409	0.881848
contig_10139	12351	1.06426	1.06426	0.830145
contig_1014	6679	4.30449	4.30449	3.08352
contig_10140	8922	1.50137	1.50137	0.703071
contig_10142	5991	0.243965	0.243965	0.184481
contig_10143	12426	1.33048	1.33048	1.91429
contig_10144	20163	1.47009	1.47009	5.17329
contig_10145	6245	0.316653	0.316653	0.669392
contig_10147	7308	1.40598	1.40598	1.31672
contig_10148	15482	1.64473	1.64473	3.7572
contig_10149	9106	1.65431	1.65431	1.37876
contig_10150	7228	0.211783	0.211783	0.166952
contig_10153	8338	0.380801	0.380801	0.276381
contig_10154	23445	0.407598	0.407598	0.494711
contig_10155	35434	3.90968	3.90968	7.89093
contig_10156	40277	1.03357	1.03357	2.2325
contig_10157	5565	0.598892	0.598892	0.369556
contig_10158	10578	1.66273	1.66273	0.718285
contig_10161	21399	1.9	1.9	1.86802
contig_10162	22127	2.75948	2.75948	5.4469
contig_10163	8398	0.44532	0.44532	0.703876
contig_10164	14375	0.477047	0.477047	0.663134
contig_10165	8222	7.52478	7.52478	128.598
contig_10166	8116	0.297138	0.297138	0.318597
contig_10167	6628	0.988731	0.988731	0.603418
contig_10168	12548	1.61099	1.61099	0.705723
contig_10169	26294	1.4424	1.4424	1.90178
contig_1017	11179	0.691994	0.691994	1.00405
contig_10170	9381	0.931752	0.931752	1.39627
contig_10171	9262	0.544337	0.544337	0.552785
contig_10172	8452	1.04288	1.04288	0.674677
contig_10173	9196	1.54389	1.54389	1.11957
contig_10174	13263	0.847098	0.847098	1.21816
contig_10175	7046	0.720708	0.720708	0.512331
contig_10176	6217	0.657821	0.657821	0.514591
contig_10177	10164	3.19363	3.19363	2.30365
contig_10178	15343	1.71691	1.71691	1.90952
contig_10179	46609	1.69524	1.69524	2.09927
contig_1018	113791	12.4683	12.4683	52.693
contig_10181	20833	0.0736354	0.0736354	0.112766
contig_10182	11572	0.177815	0.177815	0.391621
contig_10184	5116	1.99859	1.99859	0.399391
contig_10185	8400	1.22109	1.22109	0.715105
contig_10187	5988	0.426002	0.426002	0.28739
contig_10189	5462	1.84111	1.84111	1.22008
contig_1019	6381	4.63778	4.63778	22.1303
contig_10190	44742	1.75863	1.75863	1.89723
contig_10191	6363	0.791888	0.791888	0.486816
contig_10192	8427	3.33817	3.33817	1.58399
contig_10193	13604	2.22707	2.22707	1.89873
contig_10194	26730	1.5833	1.5833	2.83498
contig_10195	37936	0.718705	0.718705	1.23272
contig_10196	10603	1.55219	1.55219	0.457752
contig_10197	9509	0	0	0
contig_10198	9736	0.783851	0.783851	1.20386
contig_10199	62686	2.55594	2.55594	4.5226
contig_102	22851	6.76424	6.76424	16.9199
contig_1020	22730	1.93587	1.93587	1.15322
contig_10201	24643	2.7316	2.7316	5.29675
contig_10202	16552	1.25235	1.25235	0.954577
contig_10203	12657	0.210282	0.210282	0.204433
contig_10204	5455	2.69783	2.69783	1.02199
contig_10205	5580	0.992818	0.992818	0.572203
contig_10206	7532	0.715524	0.715524	0.794121
contig_10207	15847	0.476779	0.476779	0.679291
contig_10208	9807	0.574195	0.574195	0.691879
contig_10209	11070	1.06841	1.06841	0.78558
contig_1021	10810	3.63133	3.63133	5.31933
contig_10210	6801	2.65975	2.65975	1.75712
contig_10211	6125	0.416067	0.416067	0.494754
contig_10212	11212	1.26189	1.26189	1.34651
contig_10213	14157	1.59606	1.59606	1.34275
contig_10214	9803	1.56428	1.56428	0.698717
contig_10215	8807	1.38073	1.38073	0.801875
contig_10216	12675	0.673533	0.673533	0.618423
contig_10217	15800	0.979042	0.979042	1.28138
contig_10218	8609	1.98818	1.98818	0.873115
contig_10219	7266	0.700253	0.700253	0.366759
contig_10220	35724	2.57382	2.57382	3.32317
contig_10221	6840	1.10732	1.10732	1.08734
contig_10224	13851	1.04722	1.04722	1.26031
contig_10225	10037	0.943461	0.943461	1.10659
contig_10226	10099	1.17067	1.17067	2.02641
contig_10227	12041	0.589185	0.589185	3.81338
contig_10228	16807	0.93096	0.93096	0.717804
contig_10229	21410	0.597601	0.597601	1.15404
contig_1023	10025	2.53418	2.53418	0.477564
contig_10230	9718	1.50209	1.50209	2.14534
contig_10231	11966	1.70227	1.70227	1.43273
contig_10232	7876	1.12917	1.12917	1.09738
contig_10233	13244	2.95937	2.95937	2.04396
contig_10234	10948	0.926746	0.926746	0.699557
contig_10235	11186	1.6486	1.6486	1.17192
contig_10236	6929	1.39622	1.39622	0.599829
contig_10237	12204	1.2361	1.2361	0.679294
contig_10239	6589	0.298338	0.298338	0.31001
contig_1024	5588	2.21828	2.21828	0.578601
contig_10240	5744	1.94154	1.94154	0.867475
contig_10241	5629	1.35444	1.35444	1.26783
contig_10242	76094	0.525032	0.525032	1.26866
contig_10243	14397	1.30175	1.30175	1.46637
contig_10244	9061	0.362361	0.362361	0.466089
contig_10245	34421	2.09367	2.09367	1.26715
contig_10249	8038	1.05248	1.05248	0.866064
contig_1025	6860	1.71908	1.71908	0.291472
contig_10250	7359	2.14357	2.14357	1.44644
contig_10251	17107	2.71622	2.71622	3.57828
contig_10253	10232	1.09185	1.09185	1.1032
contig_10255	6961	1.05741	1.05741	0.623547
contig_10256	13726	0.660798	0.660798	0.647709
contig_10257	8042	1.94919	1.94919	0.733013
contig_10258	5172	0.382915	0.382915	0.444668
contig_10259	12701	1.79731	1.79731	2.13994
contig_1026	45216	1.22509	1.22509	2.37102
contig_10260	6938	1.10253	1.10253	1.84672
contig_10261	9687	0.419943	0.419943	1.12934
contig_10263	11459	2.39252	2.39252	2.31108
contig_10265	14887	2.13415	2.13415	4.92123
contig_10266	8840	1.57963	1.57963	0.924101
contig_10267	16111	1.51714	1.51714	2.33032
contig_10268	10589	2.22368	2.22368	0.326592
contig_10269	5484	0	0	0
contig_10270	6138	0.333166	0.333166	0.540257
contig_10271	23426	1.90565	1.90565	1.59251
contig_10272	5159	2.08465	2.08465	1.35023
contig_10273	15755	0.255559	0.255559	0.54504
contig_10274	10490	1.0942	1.0942	0.861945
contig_10275	17132	3.18208	3.18208	6.21457
contig_10276	5440	1.42968	1.42968	1.34813
contig_10277	13328	1.58765	1.58765	3.07104
contig_10279	11587	0.995104	0.995104	1.12814
contig_1028	21160	2.79833	2.79833	6.68843
contig_10280	44509	3.35582	3.35582	4.86362
contig_10281	9258	1.11177	1.11177	0.953194
contig_10282	10310	0.369094	0.369094	0.3447
contig_10283	9450	0.809355	0.809355	1.233
contig_10284	29707	1.61752	1.61752	1.85598
contig_10286	9539	1.42379	1.42379	0.815595
contig_10288	5774	1.22831	1.22831	0.496329
contig_10289	8707	0.62966	0.62966	0.585744
contig_1029	8981	1.80987	1.80987	1.04188
contig_10291	5992	1.87487	1.87487	1.48738
contig_10292	17314	3.0571	3.0571	1.62501
contig_10293	16067	2.07005	2.07005	10.0034
contig_10294	6428	0.906021	0.906021	0.784813
contig_10295	5888	0.174277	0.174277	0.17914
contig_10296	8442	1.08345	1.08345	1.46779
contig_10297	5543	0.818839	0.818839	0.325314
contig_10298	5296	2.13855	2.13855	2.58659
contig_10299	9148	0.875083	0.875083	0.670613
contig_103	28655	1.23915	1.23915	1.7754
contig_1030	11794	2.01821	2.01821	1.14568
contig_10301	6641	1.60206	1.60206	0.700616
contig_10302	24998	1.99585	1.99585	3.51806
contig_10303	6417	0.877294	0.877294	0.66944
contig_10307	9000	0.606441	0.606441	0.616995
contig_10308	15588	2.37298	2.37298	2.67312
contig_10309	7304	0.473302	0.473302	0.645017
contig_1031	24699	1.85221	1.85221	3.07763
contig_10310	7574	2.13739	2.13739	0.676569
contig_10311	12474	0.120578	0.120578	0.11383
contig_10312	6009	1.02833	1.02833	0.911465
contig_10313	27302	1.45304	1.45304	1.3736
contig_10314	27832	1.73662	1.73662	1.11777
contig_10315	9410	1.57376	1.57376	1.55936
contig_10316	9157	0.455646	0.455646	0.40636
contig_10317	9907	0.75761	0.75761	1.00809
contig_10318	23137	2.28138	2.28138	4.33204
contig_10319	57186	2.58268	2.58268	3.54407
contig_1032	11589	1.47731	1.47731	1.88288
contig_10320	59355	2.31698	2.31698	3.49985
contig_10322	8900	1.97463	1.97463	1.02227
contig_10323	31306	2.37264	2.37264	4.48314
contig_10324	7990	2.1199	2.1199	0.65734
contig_10325	7499	0.996462	0.996462	0.565031
contig_10326	9558	0.373087	0.373087	0.571947
contig_10327	9123	1.98362	1.98362	0.642554
contig_10328	7407	1.0452	1.0452	0.737721
contig_10329	8012	1.31926	1.31926	0.900443
contig_1033	18341	1.94398	1.94398	2.14272
contig_10330	11458	0.829324	0.829324	0.491094
contig_10331	57484	1.75971	1.75971	2.63461
contig_10332	12824	0.984693	0.984693	0.722732
contig_10333	12353	1.5924	1.5924	0.925022
contig_10334	23374	1.10489	1.10489	1.4291
contig_10335	6484	1.37433	1.37433	0.533908
contig_10336	16585	1.75723	1.75723	2.72592
contig_10337	21211	0.378472	0.378472	0.358546
contig_10339	6154	1.03381	1.03381	0.729365
contig_1034	6334	9.30611	9.30611	22.3306
contig_10340	13478	2.33824	2.33824	2.4565
contig_10341	11068	1.28055	1.28055	0.776201
contig_10342	7843	1.74028	1.74028	1.49701
contig_10343	9816	0.48624	0.48624	0.486724
contig_10344	17442	1.07096	1.07096	1.1056
contig_10345	13735	0.481781	0.481781	0.431939
contig_10347	10954	1.83321	1.83321	0.829757
contig_10348	10075	4.24746	4.24746	8.30267
contig_10349	7347	0.0611366	0.0611366	0.115773
contig_10350	10586	0.101188	0.101188	0.0909576
contig_10351	5948	2.63022	2.63022	0.96797
contig_10352	5574	0.748525	0.748525	0.645209
contig_10353	15870	1.56406	1.56406	1.05653
contig_10354	12695	1.77067	1.77067	1.25273
contig_10356	6356	0.788431	0.788431	0.493344
contig_10357	13457	0.552191	0.552191	0.615553
contig_10358	16600	0.329179	0.329179	0.520929
contig_10359	8646	1.76059	1.76059	0.960958
contig_1036	9875	4.69213	4.69213	8.14556
contig_10360	27524	1.79769	1.79769	1.4391
contig_10361	8352	1.75347	1.75347	0.758605
contig_10362	15496	1.72097	1.72097	2.77128
contig_10363	9372	1.40653	1.40653	1.34595
contig_10364	13035	1.443	1.443	2.34911
contig_10365	8705	1.54857	1.54857	3.211
contig_10366	5838	0.310654	0.310654	0.327818
contig_10367	12916	1.7039	1.7039	2.30019
contig_10368	6797	1.12682	1.12682	1.08062
contig_10369	19869	0	0	0
contig_1037	98932	15.8518	15.8518	37.3363
contig_10372	9295	1.65675	1.65675	2.57755
contig_10373	14104	3.97341	3.97341	10.2533
contig_10374	71516	4.13925	4.13925	3.55755
contig_10375	20835	1.30201	1.30201	3.42655
contig_10376	5710	0.628237	0.628237	0.889084
contig_10377	6446	0.405654	0.405654	0.605242
contig_10378	16924	1.28252	1.28252	2.19823
contig_10379	8999	0.990281	0.990281	1.9199
contig_10380	40661	4.9294	4.9294	5.13666
contig_10381	22629	0.858312	0.858312	0.812891
contig_10382	6439	0.621084	0.621084	0.674933
contig_10383	6638	0.739365	0.739365	0.500713
contig_10384	15477	1.29725	1.29725	2.00082
contig_10385	6056	0.326448	0.326448	0.25446
contig_10386	8564	0.841574	0.841574	0.606131
contig_10387	5914	0.714781	0.714781	0.637697
contig_10388	5612	0.888869	0.888869	0.945509
contig_10389	12611	0.353102	0.353102	0.410684
contig_1039	24976	2.03516	2.03516	2.15582
contig_10390	27660	1.55194	1.55194	1.85168
contig_10392	22459	1.10301	1.10301	2.25212
contig_10393	6309	0.353304	0.353304	0.412011
contig_10394	8989	1.74217	1.74217	1.35493
contig_10395	12262	1.51527	1.51527	1.83037
contig_10397	12628	0.769675	0.769675	0.533311
contig_10398	6546	1.47014	1.47014	1.32152
contig_10399	9452	0.370888	0.370888	0.330302
contig_104	43687	1.61233	1.61233	2.80175
contig_1040	5743	0.498659	0.498659	1.22999
contig_10401	13866	1.85222	1.85222	1.55728
contig_10402	6024	1.39751	1.39751	1.3112
contig_10403	13905	2.07735	2.07735	0.764859
contig_10404	6325	0.533279	0.533279	0.433891
contig_10405	6929	1.51365	1.51365	1.55288
contig_10407	37246	1.09494	1.09494	1.41546
contig_10408	14522	1.52776	1.52776	2.51109
contig_10409	17082	2.08014	2.08014	1.39567
contig_1041	5805	1.17224	1.17224	0.779679
contig_10410	17395	2.32966	2.32966	2.73093
contig_10411	20322	1.72229	1.72229	2.16971
contig_10412	14873	0.551382	0.551382	0.593194
contig_10413	27237	2.08908	2.08908	3.95925
contig_10414	7713	1.36454	1.36454	0.451716
contig_10415	7199	2.13676	2.13676	2.47274
contig_10416	7891	1.99134	1.99134	0.277572
contig_10417	6400	1.20592	1.20592	0.331563
contig_10418	29135	2.03074	2.03074	1.02604
contig_10419	5572	0.552379	0.552379	0.371624
contig_1042	27690	1.54201	1.54201	1.68476
contig_10420	13810	0.753148	0.753148	1.28894
contig_10421	57598	3.10963	3.10963	2.69675
contig_10422	12316	1.57488	1.57488	1.22877
contig_10423	8817	1.66805	1.66805	5.21744
contig_10424	9812	1.03022	1.03022	0.573768
contig_10425	11984	1.63765	1.63765	0.941348
contig_10426	12166	1.96238	1.96238	1.35638
contig_10427	19230	1.4554	1.4554	1.58518
contig_10428	8648	1.10638	1.10638	0.958596
contig_10429	11313	0.439667	0.439667	0.405518
contig_1043	20838	1.567	1.567	1.66187
contig_10430	26664	0.840613	0.840613	1.26876
contig_10431	9216	3.67715	3.67715	3.32399
contig_10432	14046	0.602044	0.602044	0.898301
contig_10433	15974	0.501011	0.501011	1.12439
contig_10434	11060	3.03731	3.03731	3.10715
contig_10436	15240	1.14354	1.14354	0.749021
contig_1044	9844	1.85661	1.85661	1.78738
contig_10440	10253	1.66525	1.66525	0.751682
contig_10441	9162	0.608633	0.608633	0.754973
contig_10443	19605	1.71401	1.71401	1.47428
contig_10444	10324	1.30598	1.30598	0.785841
contig_10445	5547	1.94497	1.94497	1.64573
contig_10446	7028	2.33309	2.33309	1.12058
contig_10447	12725	2.26243	2.26243	1.31197
contig_10448	13938	0.76922	0.76922	0.588789
contig_10449	6414	0.692529	0.692529	0.455948
contig_1045	67323	2.70318	2.70318	5.43911
contig_10450	12072	1.91864	1.91864	1.99335
contig_10451	10259	1.1378	1.1378	2.61566
contig_10452	6753	1.74254	1.74254	0.559271
contig_10453	9698	1.40941	1.40941	1.07767
contig_10454	14127	3.44215	3.44215	3.52755
contig_10455	8411	0.480813	0.480813	0.680362
contig_10456	15757	1.97616	1.97616	2.45518
contig_10457	13676	2.27924	2.27924	1.67522
contig_10458	31933	1.37992	1.37992	1.8092
contig_10459	7042	1.43529	1.43529	0.870118
contig_1046	24355	1.31303	1.31303	2.40953
contig_10460	23318	0.233943	0.233943	0.565883
contig_10461	5756	2.80432	2.80432	4.25319
contig_10462	12449	0.604033	0.604033	0.443267
contig_10463	6464	0.726006	0.726006	0.583551
contig_10464	12662	0.124441	0.124441	0.146695
contig_10465	13178	0.482653	0.482653	0.76379
contig_10466	9243	0.724953	0.724953	1.56403
contig_10467	8308	0.305099	0.305099	0.455221
contig_10468	11806	1.43643	1.43643	2.87057
contig_10469	11224	1.29583	1.29583	0.973677
contig_1047	10618	1.44068	1.44068	0.891955
contig_10470	16041	1.6734	1.6734	2.057
contig_10471	9554	0.106338	0.106338	0.0950355
contig_10472	8193	1.5902	1.5902	0.25459
contig_10473	8328	0.845684	0.845684	0.601377
contig_10474	6505	0.538002	0.538002	0.691181
contig_10475	21855	1.00051	1.00051	1.2569
contig_10476	6279	0.662588	0.662588	0.755875
contig_10477	26191	0.810683	0.810683	0.691244
contig_10478	12392	1.08438	1.08438	1.02039
contig_1048	58149	0.589148	0.589148	1.02157
contig_10480	16789	1.57017	1.57017	0.994166
contig_10481	6516	0.849356	0.849356	0.154054
contig_10483	7125	1.02853	1.02853	1.06134
contig_10484	11239	0.488863	0.488863	0.44522
contig_10485	10926	1.58862	1.58862	1.4529
contig_10487	21920	0.826229	0.826229	0.985577
contig_10488	7203	1.60797	1.60797	1.59751
contig_10489	15637	1.77633	1.77633	1.93383
contig_1049	6609	5.94659	5.94659	20.2148
contig_10490	19748	1.08016	1.08016	1.06214
contig_10491	7774	1.34864	1.34864	1.22798
contig_10492	24774	0.909885	0.909885	1.07632
contig_10493	25770	0.717799	0.717799	0.732096
contig_10494	6352	1.46711	1.46711	0.787252
contig_10495	14823	2.13889	2.13889	2.0149
contig_10496	18286	2.09986	2.09986	3.4195
contig_10497	12433	1.2825	1.2825	0.961011
contig_10498	10297	1.93624	1.93624	1.12311
contig_10499	20882	2.14808	2.14808	1.78603
contig_105	466159	14.534	14.534	32.4535
contig_1050	7962	3.57962	3.57962	2.76961
contig_10500	16149	1.70086	1.70086	1.95743
contig_10501	8041	2.59067	2.59067	2.57046
contig_10503	12816	2.45326	2.45326	1.54618
contig_10504	7977	1.67638	1.67638	1.50814
contig_10505	12470	1.65966	1.65966	0.801175
contig_10506	6487	1.02367	1.02367	1.0379
contig_10507	8835	1.62568	1.62568	0.581308
contig_10508	7835	0.539102	0.539102	0.500433
contig_10509	6729	2.22389	2.22389	0.51916
contig_1051	18307	3.61761	3.61761	5.54493
contig_10511	16643	1.68277	1.68277	3.583
contig_10512	9895	1.83602	1.83602	0.21364
contig_10513	8506	1.45835	1.45835	0.936471
contig_10514	26875	1.7423	1.7423	1.20945
contig_10516	9125	1.87287	1.87287	1.50549
contig_10517	5068	0.196828	0.196828	0.237809
contig_10518	5166	0.00219298	0.00219298	0.00218857
contig_10519	8861	0.630123	0.630123	0.43512
contig_10521	31599	2.15819	2.15819	3.23467
contig_10522	9683	0.779398	0.779398	0.771006
contig_10523	16332	1.30775	1.30775	1.47806
contig_10524	9367	2.98557	2.98557	3.28229
contig_10525	7251	1.29644	1.29644	0.883574
contig_10526	33183	1.78818	1.78818	3.08411
contig_10527	6920	1.54815	1.54815	1.11101
contig_10528	9624	1.64936	1.64936	0.871907
contig_10529	8197	0.491488	0.491488	0.49378
contig_1053	110056	12.1945	12.1945	51.1701
contig_10530	15826	1.53483	1.53483	1.17395
contig_10531	10405	1.75163	1.75163	2.06267
contig_10532	5162	0.183559	0.183559	0.199783
contig_10533	6155	1.24363	1.24363	1.66501
contig_10534	5650	1.90891	1.90891	0.774568
contig_10535	28391	0.301158	0.301158	0.354463
contig_10536	6235	1.22942	1.22942	1.13897
contig_10537	9730	0.750418	0.750418	1.08038
contig_10538	7298	2.20579	2.20579	0.387608
contig_10539	26955	2.29431	2.29431	3.77676
contig_1054	17298	2.29135	2.29135	2.66715
contig_10540	12586	0.717594	0.717594	0.852818
contig_10541	16933	1.21677	1.21677	1.34225
contig_10544	12591	1.41291	1.41291	0.675762
contig_10545	18410	0.394359	0.394359	0.385204
contig_10546	7950	1.49833	1.49833	0.380289
contig_10547	5478	1.98029	1.98029	0.891512
contig_10548	8120	1.83275	1.83275	4.06841
contig_10549	7933	0.704741	0.704741	0.662976
contig_1055	13061	3.08582	3.08582	3.08506
contig_10550	14537	1.73601	1.73601	2.518
contig_10551	7926	1.66011	1.66011	1.10897
contig_10553	18648	2.55174	2.55174	0.983851
contig_10554	5638	2.13047	2.13047	0.491836
contig_10555	6206	1.23563	1.23563	1.07501
contig_10556	17557	1.25559	1.25559	2.96303
contig_10557	13183	1.68096	1.68096	1.68787
contig_10558	14808	1.73005	1.73005	1.47314
contig_10559	5789	0.258911	0.258911	0.367504
contig_1056	17931	2.20972	2.20972	3.15521
contig_10560	9913	0.317525	0.317525	0.417312
contig_10561	16273	0.344043	0.344043	0.502657
contig_10562	6754	2.25909	2.25909	0.277104
contig_10563	6730	1.31778	1.31778	1.15922
contig_10565	13871	5.55513	5.55513	6.87813
contig_10566	70574	7.52647	7.52647	8.684
contig_10569	26383	1.5126	1.5126	2.2816
contig_1057	364913	3.55771	3.55771	6.8776
contig_10570	10559	0.409549	0.409549	0.373276
contig_10572	14341	0.0299486	0.0299486	0.0290422
contig_10573	13357	1.22291	1.22291	2.25225
contig_10574	9609	1.87758	1.87758	0.815175
contig_10575	13185	1.16095	1.16095	0.780646
contig_10576	5497	1.85225	1.85225	0.655316
contig_10577	11097	1.27405	1.27405	1.92651
contig_10578	9960	1.29297	1.29297	0.80506
contig_10579	8180	0.415193	0.415193	0.885746
contig_1058	29354	2.93265	2.93265	9.58373
contig_10580	6408	2.45142	2.45142	0.262055
contig_10581	5529	0.520171	0.520171	0.430019
contig_10582	6009	1.97662	1.97662	2.21668
contig_10583	6391	0.828393	0.828393	0.245048
contig_10584	6903	1.11699	1.11699	1.05178
contig_10585	10941	1.92299	1.92299	4.34195
contig_10586	13526	2.83508	2.83508	3.63323
contig_10587	6865	1.81087	1.81087	0.991687
contig_10588	11318	0.580677	0.580677	1.44617
contig_10589	11033	1.44721	1.44721	3.0822
contig_1059	7074	1.28033	1.28033	1.16551
contig_10590	11573	1.74779	1.74779	1.75331
contig_10591	14916	1.02811	1.02811	1.51822
contig_10592	51440	1.81234	1.81234	1.51423
contig_10593	11432	1.4758	1.4758	0.722373
